PWM,VADC,Voltage,Counts,
200,0,,,
400,0,0,,
600,0,0,,
800,0,0,,
1000,0.09,30,,
1200,0.13,63,,Will eventually go to 0
1400,0.09,42,,unreliable up unti here
4000,0.28,142,,
,,,,
10000,0.51,257,0,
12000,0.6,300,0,
14000,0.71,350,0,
16000,0.82,411,0,
18000,0.9,450,0,
20000,1.01,500,0,
22000,1.1,550,0,
24000,1.2,600,0,
26000,1.3,650,0,
26200,1.32,660,1,
26400,1.33,665,8,
26600,1.34,670,13,
26800,1.35,675,188,
27000,1.36,680,294,
27200,1.37,684,402,
27400,1.38,690,534,
27600,1.39,696,552,
27800,1.4,700,522,
28000,1.41,705,534,
28200,1.42,710,545,
28400,1.43,715,565,
28600,1.44,719,548,
28800,1.45,725,557,
29000,1.46,730,570,
29200,1.47,735,563,
29400,1.48,739,601,
29600,1.49,743,599,
29800,1.5,748,574,
30000,1.51,755,614,
30200,1.52,760,621,
30400,1.53,765,569,
30600,1.54,769,585,
30800,1.55,775,585,
31000,1.56,779,587,
31200,1.57,785,591,
31400,1.58,789,576,
31600,1.59,793,612,
31800,1.6,799,598,
32000,1.61,804,596,
32200,1.62,809,603,
32400,1.63,815,660,
32600,1.64,809,629,
32800,1.65,825,620,
33000,1.66,831,657,
33200,1.67,835,574,
33400,1.68,840,691,
33600,1.69,844,642,
33800,1.7,851,665,
34000,1.71,853,666,
34200,1.72,859,705,
34400,1.73,864,699,
34600,1.74,869,702,
34800,1.75,875,697,
35000,1.76,880,724,
35200,1.77,885,726,
35400,1.78,890,814,
35600,1.79,895,838,
35800,1.8,900,874,
36000,1.81,905,807,
36200,1.82,909,1008,
36400,1.83,915,1076,
36600,1.84,921,1121,
36800,1.85,925,1178,
37000,1.86,930,1646,
37200,1.87,935,1521,
37400,1.88,940,2089,
37600,1.89,945,2326,
37800,1.9,950,2988,
